col_1,col_2
82,26
73,15
79,25
1,4
6,88
34,76
64,61
97,5
49,39
7,62
6,11
73,53
55,82
72,8
29,60
89,18
58,94
50,25
65,71
97,88
82,69
31,77
42,79
2,99
92,88
37,16
49,67
95,82
52,61
78,38
87,70
83,77
17,80
58,14
29,9
50,57
83,75
61,42
89,6
49,10
8,90
62,58
66,77
32,1
81,5
48,7
54,9
11,39
67,68
57,16
51,80
84,10
3,51
90,88
9,63
61,31
71,41
46,79
26,90
98,5
99,64
11,7
60,60
97,96
72,25
2,30
40,23
50,40
78,51
89,31
23,76
74,14
50,76
12,0
80,43
0,70
11,71
79,18
96,92
51,39
97,80
56,76
47,100
22,75
100,67
61,83
17,58
31,66
96,42
34,56
42,86
93,19
99,28
95,76
0,27
4,0
100,39
95,38
95,99
43,62
3,39
98,26
55,28
19,30
54,13
36,91
63,26
25,83
80,76
20,64
68,32
59,88
46,43
30,71
34,43
7,32
41,29
13,89
10,12
55,71
12,42
5,72
80,21
89,99
97,2
68,96
15,4
63,56
22,37
8,91
14,99
47,16
41,12
83,1
56,5
50,48
23,86
26,12
47,44
39,78
57,49
50,83
12,26
60,17
1,91
11,24
43,57
2,15
5,90
42,1
16,18
50,71
79,94
8,68
44,38
16,37
6,97
5,85
82,23
5,47
43,50
84,7
59,37
76,85
98,56
34,7
43,44
9,0
57,3
60,61
14,18
74,77
2,61
22,34
16,83
12,5
26,64
99,1
46,50
43,7
69,15
98,46
12,86
55,23
71,18
2,23
24,48
28,90
58,96
48,71
70,58
4,7
88,93
52,34
22,31
99,78
72,64
47,8
0,73
26,26
59,54
71,94
55,42
92,5
3,82
87,97
7,75
37,1
87,69
61,61
85,59
40,10
96,5
17,82
33,66
57,85
84,67
8,1
93,13
89,89
32,82
29,22
56,46
82,47
2,45
73,83
37,55
16,18
29,5
54,27
22,60
6,79
22,68
69,82
44,94
85,5
83,0
34,58
13,29
62,70
61,17
60,94
25,91
17,70
66,66
19,58
44,75
99,52
89,64
14,52
85,17
40,26
89,86
9,78
38,51
88,29
33,91
90,87
34,58
25,39
60,13
58,44
26,84
51,51
69,42
96,99
72,96
79,77
54,9
91,55
3,14
81,95
71,73
74,8
4,28
92,59
3,80
83,61
36,93
39,29
90,93
83,14
90,8
86,14
38,27
54,24
18,69
51,44
14,7
38,33
95,85
32,45
55,71
80,67
6,55
85,44
13,51
30,61
50,9
85,73
66,55
35,76
80,85
48,29
61,69
54,23
40,45
8,60
10,76
93,51
23,28
55,76
10,80
45,15
78,53
31,48
79,33
20,60
81,67
19,42
28,86
83,32
43,57
76,36
52,56
96,8
20,10
24,96
58,98
35,74
82,12
33,59
14,98
4,49
79,81
7,67
46,9
38,47
80,19
42,71
79,21
95,94
23,22
92,39
67,29
40,72
94,97
57,74
4,93
85,73
61,97
45,36
62,42
58,5
40,78
54,38
70,36
57,19
95,12
59,43
86,66
98,71
75,78
91,75
48,86
4,47
73,15
59,93
16,95
3,10
33,52
1,52
26,11
80,88
86,95
28,52
72,92
59,25
84,79
33,41
6,0
71,6
93,55
77,82
57,96
21,82
88,71
100,23
14,40
76,54
96,49
47,66
15,54
20,63
6,33
77,38
19,60
26,8
75,94
68,16
37,36
18,28
73,97
7,34
29,26
58,43
62,29
10,36
54,88
10,72
45,26
14,67
30,78
7,14
66,52
60,1
22,25
20,98
66,23
40,32
32,41
36,65
52,98
43,66
78,88
75,19
35,48
7,78
42,50
85,43
11,70
30,6
93,35
28,44
12,91
60,84
55,21
72,68
60,7
95,72
80,95
84,80
0,36
33,21
96,81
87,52
99,52
26,53
73,92
29,59
87,80
16,52
46,52
58,89
72,18
96,96
48,97
40,16
56,84
83,36
43,52
97,11
42,73
85,70
65,72
1,80
49,16
50,34
3,93
96,23
32,46
13,7
22,36
96,14
2,27
36,94
87,100
55,38
62,81
30,55
6,11
80,96
59,33
24,97
2,98
49,24
64,48
3,93
55,22
50,62
15,54
32,41
77,82
87,94
80,53
65,53
58,72
5,64
62,62
58,90
97,47
93,54
63,17
34,47
75,20
54,18
34,74
11,79
81,30
26,75
40,56
97,45
65,79
35,51
6,19
17,69
40,59
35,91
10,40
81,91
97,66
32,47
28,38
26,34
8,77
28,79
2,59
48,98
25,74
40,80
26,12
51,54
91,39
68,61
54,44
71,0
55,19
70,85
87,17
70,25
8,16
92,19
31,100
55,51
66,52
20,60
74,72
91,78
34,16
98,33
45,22
70,20
75,84
96,92
3,98
74,48
26,93
56,84
3,77
53,71
96,89
85,99
67,38
73,31
85,99
56,55
80,48
88,43
44,40
84,30
29,74
87,13
93,36
69,50
25,30
36,93
43,74
95,64
6,74
15,39
51,30
19,1
52,100
59,51
88,46
69,88
72,25
84,10
79,77
37,12
20,16
20,45
56,59
33,54
20,7
67,70
31,66
71,79
21,32
40,63
67,73
19,42
7,3
81,43
9,66
74,79
11,21
33,70
35,58
47,9
15,26
86,22
99,97
64,36
28,49
21,29
3,99
19,65
46,67
83,52
1,72
95,83
28,83
76,36
29,64
56,65
3,74
100,40
10,19
29,20
11,74
52,9
46,26
31,16
43,100
58,1
53,15
100,60
38,39
22,56
41,63
34,59
4,52
47,81
42,45
74,43
55,70
42,40
48,74
12,86
6,53
45,34
58,46
32,71
33,63
94,6
52,54
0,20
13,73
46,85
34,47
30,4
95,42
81,10
2,79
73,41
84,57
54,90
22,46
92,82
43,49
44,44
61,83
39,60
47,19
48,92
41,74
68,23
29,87
47,94
26,41
89,35
12,46
100,39
92,37
53,52
0,84
15,21
5,54
8,56
58,75
53,36
99,27
5,32
96,99
68,73
1,18
74,1
82,70
13,7
95,65
58,74
19,2
66,78
62,53
75,69
28,78
51,94
2,10
86,83
31,25
26,59
39,68
32,83
23,75
18,66
30,48
19,9
10,42
84,41
6,4
84,96
75,66
37,65
85,82
15,47
21,46
43,0
37,43
71,52
14,40
89,31
34,65
23,39
92,37
56,83
6,13
81,87
2,10
72,56
42,14
54,89
64,1
69,56
87,23
29,55
11,25
25,6
45,52
73,94
34,49
35,68
11,63
86,67
2,29
40,97
33,41
55,40
13,65
14,40
28,66
93,71
24,28
64,38
8,86
20,93
75,61
4,68
32,77
96,16
7,47
37,87
66,7
20,74
16,79
38,51
