col_1,col_2
14,96
69,7
52,29
28,25
1,23
0,37
80,2
75,9
10,59
99,24
20,48
43,38
25,31
27,78
27,24
79,87
4,37
83,74
21,46
14,4
53,7
67,57
91,26
54,76
45,97
71,61
80,23
80,58
26,14
61,28
38,80
47,36
9,76
2,8
12,72
18,57
57,1
73,15
48,42
24,31
69,18
10,71
95,79
75,40
97,68
87,56
77,24
58,73
73,83
66,10
53,72
15,76
70,27
62,77
26,24
46,11
81,99
13,18
56,13
33,73
58,15
21,56
36,21
30,91
86,81
97,83
61,87
50,97
68,75
7,28
92,15
31,74
44,53
10,55
44,9
9,56
3,86
63,13
26,28
94,70
52,18
40,12
35,65
13,15
24,96
76,12
17,35
90,37
44,30
91,79
21,58
33,63
31,69
20,85
19,63
34,83
19,46
18,44
65,41
79,13
35,33
24,50
82,62
93,79
29,97
73,46
66,99
3,13
27,90
97,3
53,74
53,48
13,35
17,9
49,91
84,47
11,85
37,21
37,95
49,64
86,52
97,19
9,10
43,3
20,48
31,20
20,63
8,33
34,38
54,25
51,48
95,91
86,25
92,97
4,75
59,49
49,64
71,99
38,0
93,65
35,60
34,98
28,36
40,17
65,95
14,74
31,92
42,63
41,2
63,59
29,41
87,32
34,95
41,80
65,95
90,5
24,43
28,74
42,93
12,86
4,41
28,41
22,39
66,20
15,11
97,34
29,70
4,70
11,10
43,1
91,37
71,62
94,98
94,58
36,27
39,46
80,64
67,26
55,61
86,96
31,79
41,74
21,29
52,53
27,72
32,77
24,49
82,47
86,85
97,61
44,72
67,91
81,79
0,27
20,87
90,2
86,0
65,52
72,4
66,33
77,36
47,21
29,85
64,98
99,18
42,80
68,34
4,7
20,37
74,73
68,64
14,9
13,0
32,88
79,27
77,98
12,93
91,42
76,8
73,6
37,7
18,81
38,9
54,44
38,32
84,27
15,73
53,35
84,7
44,30
7,40
43,77
88,69
82,98
42,85
8,16
60,20
18,45
32,83
94,69
97,31
39,36
94,25
45,33
7,74
69,82
79,41
57,22
1,51
8,23
35,70
100,100
90,38
33,89
90,36
56,44
87,86
98,26
97,50
40,41
15,71
50,90
32,12
41,36
13,92
37,58
85,6
93,96
48,39
27,53
52,50
32,72
0,16
50,92
3,10
64,9
51,24
75,6
3,68
77,42
17,71
91,34
97,78
19,99
88,75
88,62
52,38
65,52
14,76
6,75
35,67
8,39
5,62
7,53
95,69
92,98
12,26
33,87
33,61
1,16
72,24
92,28
3,62
31,42
83,30
47,33
6,36
30,34
17,31
24,18
20,5
75,4
74,70
