col_1,col_2
49,92
81,12
75,12
84,23
47,11
6,12
43,63
19,4
80,90
61,95
56,33
91,67
91,91
72,52
14,72
32,71
23,41
81,0
19,88
88,68
80,12
85,34
54,2
90,24
69,89
61,0
8,55
76,12
31,67
37,98
7,76
49,91
40,16
6,85
27,26
4,73
46,32
72,77
12,0
75,72
62,0
40,13
41,82
28,74
2,56
33,86
4,58
13,81
87,76
66,35
22,31
7,14
19,52
47,33
83,16
57,87
91,25
2,40
49,52
71,32
67,41
17,88
18,25
71,41
1,5
23,78
83,94
91,97
52,58
84,61
53,81
93,70
64,28
38,75
90,55
23,47
77,68
88,34
80,29
31,51
75,44
48,78
10,87
37,41
17,94
92,99
23,98
91,24
31,98
96,46
47,15
99,61
54,40
92,99
11,74
76,93
26,26
80,97
55,76
53,40
10,100
45,45
96,1
30,92
98,17
70,74
11,18
62,66
99,46
85,99
29,29
23,77
51,14
15,86
15,75
100,100
64,52
95,59
60,70
30,40
94,26
12,59
55,88
16,59
50,53
42,30
60,40
87,43
77,33
96,77
36,93
98,65
31,36
55,74
69,26
60,86
46,32
20,72
35,12
57,53
9,20
82,99
89,4
2,90
56,28
56,11
50,46
21,75
49,27
16,29
94,33
78,49
45,18
5,84
71,3
34,97
16,85
28,99
66,63
62,65
15,89
23,51
64,52
32,65
36,25
4,82
99,84
39,67
67,22
3,94
68,4
22,99
76,53
22,42
1,33
51,59
62,50
51,8
35,52
55,32
1,15
49,80
38,23
68,3
24,83
47,62
27,47
26,84
74,52
96,62
64,97
57,6
91,35
97,12
79,4
69,18
19,32
4,15
35,43
36,100
21,67
47,89
35,64
36,85
88,70
7,13
65,18
83,1
7,57
13,87
85,91
27,6
62,93
64,42
24,2
2,90
68,24
2,70
17,47
33,40
52,33
36,83
9,71
85,37
70,16
89,41
49,98
58,78
59,53
52,7
88,17
45,59
56,68
29,39
6,57
80,19
33,20
95,91
71,45
32,15
77,95
22,76
49,5
69,54
4,16
48,54
48,66
70,55
46,17
17,38
9,17
93,75
58,49
5,88
12,44
53,96
65,21
71,52
23,57
62,66
0,9
10,16
64,54
24,7
75,9
70,76
17,80
34,0
72,97
47,92
16,13
53,28
48,38
14,53
1,64
72,68
92,75
95,66
15,85
60,53
30,39
21,48
8,63
34,79
99,13
83,43
10,39
57,76
64,70
46,92
24,7
80,56
75,37
24,56
38,83
38,67
34,80
78,88
4,32
84,8
40,62
12,78
35,85
5,47
55,14
87,91
14,27
65,99
52,99
53,48
76,99
17,23
65,81
51,39
88,67
61,91
52,83
64,6
58,10
2,32
10,29
