74,78
43,98
13,16
59,75
68,47
81,81
90,80
70,30
75,96
24,31
52,20
19,50
94,37
1,6
8,25
23,66
15,81
83,27
52,53
51,3
51,20
18,97
77,21
47,75
19,49
35,20
86,33
19,53
79,12
92,1
5,39
16,65
16,45
43,100
19,2
16,100
81,24
90,89
5,43
34,14
83,53
60,52
56,68
9,14
6,10
45,58
21,57
45,69
68,88
53,60
42,55
85,4
94,56
63,41
60,54
88,62
1,75
62,79
23,5
29,40
20,79
99,8
47,14
82,61
98,44
37,88
96,62
46,100
13,15
98,76
44,73
94,7
11,67
81,84
45,85
70,93
19,52
67,18
55,61
43,3
3,7
6,77
6,7
61,95
88,83
98,25
60,94
100,87
64,68
37,74
18,27
100,40
15,83
0,20
90,84
14,70
43,9
59,31
97,48
85,8
68,15
58,95
55,28
68,10
31,78
77,82
67,65
40,57
53,45
5,23
87,70
28,74
61,92
19,72
7,91
83,45
41,69
79,4
97,10
5,94
20,83
32,94
92,88
9,55
76,75
76,52
4,46
38,6
89,62
37,33
22,26
69,18
95,14
36,29
7,83
54,42
85,32
85,83
99,100
47,63
3,5
0,86
61,37
51,92
70,72
84,53
52,76
50,7
85,84
78,85
62,20
5,63
29,35
34,17
58,74
11,74
23,90
20,58
57,9
3,52
32,32
74,74
85,95
26,13
9,65
3,15
67,95
8,43
1,64
81,95
61,47
56,55
78,21
68,12
31,76
76,96
30,62
5,89
64,88
69,74
67,89
78,16
10,38
58,72
65,28
94,35
48,98
20,33
79,40
75,80
42,68
15,21
27,4
61,85
83,43
47,85
7,66
2,39
45,22
19,53
59,97
84,63
65,67
18,16
74,22
87,53
2,37
11,44
94,89
78,90
73,58
34,5
38,99
10,70
43,82
96,45
45,48
69,12
36,63
3,39
31,78
14,31
57,31
50,55
9,44
5,3
25,58
53,70
62,71
19,44
64,26
38,36
22,46
62,9
29,24
83,59
61,96
47,26
73,40
3,54
62,12
88,40
56,33
90,91
53,45
26,77
95,71
31,36
73,53
46,92
21,24
84,51
34,18
56,59
6,63
19,48
61,24
11,70
95,49
84,36
59,28
55,57
48,39
5,22
15,48
37,31
33,60
21,96
56,43
7,84
84,67
41,74
19,35
46,67
31,19
85,2
77,61
66,37
26,55
69,98
36,71
33,3
81,68
4,75
88,93
38,18
17,4
80,64
44,57
39,77
22,16
49,87
14,100
49,49
44,77
73,28
92,54
5,92
94,29
41,82
58,35
12,88
2,25
97,87
16,13
92,41
32,89
86,67
98,27
26,54
74,93
29,90
42,68
61,0
46,73
56,91
0,57
29,25
21,16
13,75
32,43
20,11
29,23
15,87
95,100
31,70
86,43
80,20
81,86
95,71
68,83
62,97
