col_1,col_2
15,72
51,19
12,59
71,27
72,51
47,17
3,97
43,60
14,96
88,16
33,57
52,60
66,77
1,40
82,39
54,2
28,4
58,45
35,26
17,15
100,87
70,38
24,84
18,35
31,60
100,68
63,0
41,70
6,55
42,76
37,87
19,87
24,49
0,57
80,28
72,68
9,78
36,72
40,10
22,41
33,64
48,40
40,11
4,48
2,86
36,92
1,49
23,38
6,7
26,35
14,49
11,33
16,69
5,61
53,9
53,90
69,58
87,74
88,66
72,97
87,85
55,15
60,0
79,99
66,34
72,3
5,30
80,76
97,77
85,33
66,68
23,75
89,44
21,82
50,68
52,6
74,74
37,87
25,44
80,76
68,46
59,88
91,41
64,55
68,97
19,98
48,18
79,80
100,84
3,43
43,32
79,40
100,35
39,93
93,86
19,48
50,93
1,22
92,83
15,4
67,28
40,59
65,61
31,84
84,23
95,87
66,42
73,71
62,89
43,22
55,74
0,9
71,87
50,3
39,61
83,38
33,23
18,26
97,83
77,86
72,44
76,42
64,50
53,21
75,57
19,90
70,8
2,66
95,64
15,48
38,14
84,50
12,12
82,66
76,76
65,74
57,5
82,48
48,2
71,54
73,50
19,80
78,34
72,81
78,99
77,58
61,31
2,36
34,75
54,79
14,55
97,11
49,71
46,73
35,27
39,50
34,69
25,56
30,95
23,86
14,5
58,20
95,17
64,72
24,95
2,8
32,99
53,39
19,86
42,14
84,0
33,8
94,80
37,88
26,47
52,92
51,68
70,98
6,19
60,9
43,78
59,70
74,20
54,18
91,86
2,33
45,27
74,20
22,40
67,92
69,50
26,55
24,93
91,37
94,96
79,39
44,79
54,19
82,64
7,51
17,38
37,94
97,66
58,75
33,13
81,34
23,69
83,55
5,98
63,91
46,21
100,1
69,41
72,51
95,46
7,76
37,58
86,79
64,73
49,20
43,61
2,6
23,78
86,55
24,30
100,93
99,98
73,99
59,32
60,12
12,34
91,57
27,64
28,64
2,80
75,54
33,67
37,91
72,97
64,86
77,51
0,52
37,58
47,37
94,31
48,8
25,23
5,84
25,87
71,21
