col_1,col_2
76,7
45,62
38,20
93,16
69,91
1,82
18,98
90,73
60,51
80,72
1,94
49,19
20,35
0,8
77,98
54,74
92,21
47,48
0,90
0,38
84,55
48,53
53,19
15,85
92,28
38,99
97,11
17,25
35,73
81,45
28,42
34,99
30,0
10,98
75,91
23,94
26,18
48,71
98,86
34,16
77,42
59,47
100,54
61,29
98,100
17,1
56,3
95,55
76,43
27,64
26,31
39,100
86,1
54,40
2,21
32,1
0,63
84,0
98,71
51,3
9,72
50,91
7,62
57,42
79,93
50,48
12,13
21,54
0,30
54,94
80,17
32,18
39,97
29,83
12,25
13,25
65,48
83,81
74,1
7,65
62,75
35,37
29,84
37,81
50,90
39,59
51,52
13,79
18,67
73,18
3,2
65,5
76,92
6,46
57,3
97,98
1,61
30,66
85,99
37,58
79,85
77,98
12,42
21,85
47,44
67,67
52,93
90,26
94,43
64,27
13,72
0,69
90,56
88,34
95,58
52,95
82,66
22,17
36,58
24,54
30,28
41,3
8,43
25,80
76,56
50,51
63,62
91,70
23,56
61,38
8,48
6,22
72,30
63,48
86,37
100,61
77,3
90,18
24,12
3,5
78,65
40,14
18,14
78,92
7,67
9,5
80,1
68,55
0,8
25,100
22,78
39,15
99,89
81,66
5,95
87,23
38,38
20,54
1,74
30,36
66,27
10,1
69,72
21,64
21,49
3,62
84,64
13,5
95,71
63,64
16,64
18,84
55,87
82,31
53,92
20,24
100,21
51,39
79,1
13,87
65,21
8,62
90,78
61,14
47,94
44,60
66,57
52,51
100,63
81,57
95,85
76,1
11,57
83,21
68,62
63,95
79,25
19,53
78,17
33,8
39,11
10,37
15,43
52,66
14,53
77,39
49,46
41,0
76,31
78,81
91,55
32,93
93,44
41,5
68,0
45,99
7,25
71,46
51,78
2,5
14,3
72,23
63,9
80,1
68,57
38,85
64,78
45,6
44,57
66,47
58,72
73,10
24,64
25,60
82,60
76,22
13,81
63,21
90,63
26,13
49,72
21,73
27,63
99,38
85,16
86,78
99,6
72,49
37,35
25,45
67,13
21,54
23,69
96,15
79,84
99,98
60,34
51,4
35,18
91,62
67,45
49,66
73,80
96,87
89,55
9,92
45,58
88,83
77,98
66,60
6,34
82,30
74,20
33,34
8,69
20,41
45,30
79,54
2,85
51,68
86,35
45,84
31,2
93,6
40,59
35,4
26,33
17,6
26,77
98,36
99,30
57,100
90,84
5,37
85,82
48,74
81,60
32,92
43,79
27,0
38,40
3,79
68,12
53,96
88,43
15,92
20,21
92,35
89,82
50,63
24,25
22,46
79,6
55,75
68,33
50,53
63,67
54,97
79,84
55,24
38,49
1,61
65,12
95,97
0,62
49,36
12,34
9,84
14,45
83,90
25,39
6,90
50,13
50,59
99,32
78,25
1,38
79,71
80,49
54,12
95,18
68,6
76,90
31,96
33,93
76,23
57,87
62,10
43,64
46,83
68,33
59,71
43,15
63,38
34,74
10,76
95,65
61,31
30,0
62,62
31,17
11,56
89,0
52,65
8,18
81,50
50,25
17,57
11,82
0,52
10,64
5,36
78,32
20,13
8,74
96,46
27,5
89,27
98,16
62,39
71,89
69,85
30,8
92,78
41,15
6,65
60,79
69,48
91,63
82,99
25,66
56,91
86,12
73,97
62,68
22,8
63,15
56,30
76,27
57,2
69,49
5,63
50,56
14,58
96,8
72,6
84,81
91,81
72,39
27,73
85,5
57,13
57,93
63,7
34,7
4,36
18,20
46,32
80,29
32,30
37,80
44,21
30,98
67,33
59,11
4,99
23,57
91,43
75,94
89,49
8,73
37,72
31,12
58,61
30,59
40,85
80,99
54,16
7,94
95,60
76,26
35,91
78,42
1,62
45,63
51,49
36,38
34,95
14,70
89,26
66,93
96,17
2,38
19,100
41,84
65,84
8,29
17,73
53,62
86,40
77,83
75,57
29,87
81,26
49,6
100,50
59,4
77,85
75,25
28,4
23,79
39,95
97,55
3,59
40,12
49,67
46,32
28,69
5,7
33,67
24,66
82,55
81,87
44,82
84,13
28,87
47,21
69,88
45,77
100,4
96,93
44,47
14,39
24,4
63,5
8,87
39,20
89,45
1,45
55,43
17,69
74,89
80,100
31,93
53,92
37,50
49,58
2,63
89,80
69,62
68,77
36,63
76,61
48,68
27,85
72,69
8,13
27,90
100,25
89,57
42,49
0,62
17,41
24,10
24,79
89,8
47,21
14,4
77,71
96,96
33,97
93,1
50,88
73,81
23,89
37,47
27,77
69,93
31,49
62,42
3,72
92,79
3,4
9,74
23,20
86,17
55,92
36,78
52,57
95,88
16,84
12,53
91,69
51,7
79,27
19,36
16,34
87,100
15,3
8,5
38,28
39,58
74,47
69,26
0,3
36,10
38,37
75,98
14,42
91,4
53,94
61,86
25,54
89,46
24,74
23,72
43,97
5,22
67,45
83,1
73,19
55,77
1,18
97,45
80,64
53,3
75,72
100,60
11,23
66,43
39,65
70,3
55,10
47,71
45,87
44,72
32,60
62,39
83,26
85,74
69,79
50,81
18,56
56,7
65,47
30,84
86,47
68,80
69,6
45,24
50,36
7,7
80,15
73,40
99,12
49,28
52,8
96,40
37,25
35,16
36,71
96,98
61,32
12,34
33,14
13,51
78,4
56,38
2,33
96,37
80,96
51,26
41,15
10,36
74,40
6,13
84,75
60,87
20,7
4,43
1,62
15,83
50,41
97,25
67,95
71,77
77,59
31,49
74,32
79,60
68,39
52,49
46,57
99,87
99,20
84,74
36,29
44,5
32,24
97,7
5,93
26,21
13,85
27,54
52,16
18,36
8,80
1,36
89,62
31,93
21,6
31,24
19,57
99,71
8,2
27,95
57,84
88,68
77,25
45,86
22,24
98,96
45,75
7,10
66,24
24,42
62,27
88,10
69,6
100,99
66,84
13,3
63,1
94,31
60,95
62,82
67,51
30,58
47,24
0,6
36,46
92,70
89,11
31,54
37,10
87,41
59,23
1,32
78,35
12,77
84,22
21,95
40,15
0,22
51,91
70,0
64,85
1,79
94,35
24,100
100,54
82,29
13,42
23,68
41,33
42,67
66,31
30,64
31,82
73,69
50,51
98,16
85,66
43,11
29,52
81,64
89,36
88,70
82,75
45,91
96,76
46,43
32,39
0,7
64,16
26,97
57,71
22,14
63,24
14,24
86,94
34,21
39,52
64,31
15,87
87,87
63,34
19,15
89,95
62,79
33,18
50,73
97,95
26,15
19,3
84,84
76,20
48,64
81,5
37,72
96,0
74,93
29,35
77,79
76,59
1,45
19,55
97,65
4,57
17,81
44,22
96,91
69,62
86,79
88,55
68,62
31,74
71,39
25,63
78,70
91,77
37,63
32,64
27,68
30,41
65,35
85,66
50,63
42,70
72,54
94,25
48,65
13,59
100,84
51,61
22,23
48,82
53,59
32,99
71,36
66,61
30,3
3,34
97,39
80,57
90,12
37,83
25,48
65,58
42,43
33,92
22,92
27,21
68,54
68,6
29,24
33,38
31,70
5,6
82,92
2,56
23,100
70,87
17,86
93,40
63,50
99,80
96,80
85,78
50,9
3,32
32,95
42,54
1,86
77,93
3,97
63,26
91,96
75,54
79,2
31,72
72,53
4,28
96,70
49,43
90,95
72,81
0,50
86,96
94,55
68,37
52,20
98,75
62,100
58,19
13,42
33,84
71,84
69,58
60,25
8,10
86,13
89,11
69,62
92,38
54,12
2,39
45,91
70,28
14,50
66,36
86,33
85,37
2,41
40,50
36,27
66,74
95,78
70,69
88,47
41,49
58,30
34,88
25,51
67,52
54,11
0,63
21,37
59,49
51,28
15,5
62,16
7,96
43,14
26,65
26,63
85,0
4,83
71,100
82,37
87,24
82,56
51,93
42,84
73,62
17,2
41,6
38,74
14,97
47,48
76,19
14,27
63,76
34,24
56,14
55,73
6,86
93,27
85,53
87,3
73,70
86,62
40,80
99,6
80,2
17,71
79,23
24,62
54,6
56,60
16,89
65,64
73,87
66,36
40,71
59,36
64,46
26,83
93,85
46,59
7,70
75,63
93,73
83,63
36,66
0,98
64,71
72,89
14,25
27,17
56,94
58,66
35,2
49,4
93,90
97,1
50,33
70,48
8,72
60,94
32,94
78,68
12,13
33,40
76,97
11,17
48,0
90,32
100,29
82,14
76,53
51,64
42,87
76,41
35,25
62,59
8,75
20,73
58,25
89,69
82,88
63,4
76,78
37,39
23,88
71,9
56,67
5,38
44,20
32,2
