n,python,nim,rust,nim_v_python,rust_v_python,rust_v_nim
1,3.2440000722999686e-07,1.255000097444281e-07,8.949999028118327e-08,2.5848604146773737,3.624581479962458,1.4022348980166712
2,4.660000013245735e-07,1.207999957841821e-07,8.249999154941179e-08,3.857616039632287,5.6484854431224,1.4642425231259721
3,9.086000136449002e-07,1.300999974773731e-07,9.12899849936366e-08,6.983858810626981,9.95289914559888,1.4251289173335033
4,1.3761999980488326e-06,1.5230001736199485e-07,9.420000424142927e-08,9.036111892080791,14.609341147392202,1.6167729352926412
5,2.274290000059409e-06,1.6730000425013712e-07,1.1190000805072486e-07,13.594082141558253,20.324305955621213,1.495084827646296
6,2.8204799855302554e-06,1.9999999494757504e-07,1.211000017065089e-07,14.102400283907873,23.290503268247765,1.6515275980943722
7,3.819590001512552e-06,2.1530000594793818e-07,1.4149998605716974e-07,17.740779823462564,26.993571575119,1.521554962280712
8,4.221579984005075e-06,2.409999979136046e-07,1.528999928268604e-07,17.516929545860236,27.610073133132662,1.5761936508820253
9,5.176679987926036e-06,2.870999924198259e-07,4.1729999793460594e-07,18.030930423558438,12.40517616474386,0.6879942339822792
10,6.7568700069386975e-06,3.0310000511235556e-07,2.1829999241163023e-07,22.292543361832035,30.952222820960188,1.3884563245463837
11,7.0315599987225145e-06,3.628000013122801e-07,2.3860000510467215e-07,19.38136707080687,29.470074804222314,1.5205364356682318
12,8.940759998949943e-06,3.9950000427779744e-07,2.8929998734383845e-07,22.37987460128504,30.904806049381822,1.3809195359659114
13,9.881149999273476e-06,4.2749999920488333e-07,3.251999987696763e-07,23.11380121088104,30.384840211121354,1.3145756482848614
14,1.047184998242301e-05,4.459000047063455e-07,3.3430000257794744e-07,23.48474965663975,31.324708051658867,1.3338318913185672
15,1.1512549990584375e-05,5.292000059853308e-07,3.8079000660218297e-07,21.754629365789345,30.23333015829827,1.3897423693111621
16,1.3095150006847688e-05,5.866999890713486e-07,4.455999987840187e-07,22.32001065412528,29.38767962877594,1.316651684632793
17,1.4718029997311532e-05,6.048000068403781e-07,7.950899998832028e-07,24.335366783810223,18.511149680506083,0.7606686122693306
